IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
155.245.28.9,100,24,TRUE,2018/6/4 06:36,R_O2rGHpQaJNJaxC9,,,,,51.90859985,0.920898438,anonymous,EN,15.86,17.349,18.326,2,Prime Minister 2,2.553,4.208,5.63,2,Prime Minister 1,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Gender,Female,Liberal Democrats,Oppose EU Integration,No Scandal,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Gender,Female,Labour Party,Oppose EU Integration,Having an Extranarital Affair,Male,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Misreporting Funds,Conservative Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party
155.245.28.4,100,20,TRUE,2018/6/4 06:37,R_6V7wea6kB8Jg9DX,,,,,51.90859985,0.920898438,anonymous,EN,9.906,9.906,11.041,1,Prime Minister 1,2.223,7.861,8.687,2,Prime Minister 2,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,Gender,Male,Labour Party,Sexual Harassment,Labour Party,Female,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Gender,Male,Conservative Party,No Scandal,Liberal Democrats,Male,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Having an Extranarital Affair,Neutral,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Plagiarism,Support EU Integration
155.245.28.13,100,23,TRUE,2018/6/4 06:38,R_27sa4IhIi9LHIhT,,,,,51.90859985,0.920898438,anonymous,EN,4.778,4.778,6.139,1,Prime Minister 2,16.414,16.414,17.258,1,Prime Minister 2,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,Plagiarism,Scandal,No Scandal,Support EU Integration,Female,Having an Extramarital Affair,No Scandal,EU Integration,Neutral,Gender,Male,Minister's Scandal,No Scandal,Scandal,Plagiarism,Support EU Integration,Female,Having an Extramarital Affair,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Labour Party,Labour Party,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Labour Party,Labour Party
155.245.28.11,100,58,TRUE,2018/6/4 06:39,R_2wzqGdeUaKJxoOX,,,,,51.90859985,0.920898438,anonymous,EN,29.868,29.868,30.812,1,Prime Minister 2,26.664,26.664,28.387,1,Prime Minister 2,EU Integration,Oppose EU Integration,Scandal,No Scandal,Gender,Female,Minister's Partisanship,Conservative Party,Neutral,Misreporting Funds,Male,Labour Party,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Minister's Partisanship,Labour Party,Oppose EU Integration,No Scandal,Female,Labour Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,No Scandal,Labour Party,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,No Scandal,Labour Party
155.245.28.2,100,30,TRUE,2018/6/4 06:42,R_1OuVZoWqwZBJV8H,,,,,51.90859985,0.920898438,anonymous,EN,17.988,17.988,19.126,1,Prime Minister 1,10.693,10.693,11.996,1,Prime Minister 1,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,EU Integration,Neutral,Male,Conservative Party,Plagiarism,Neutral,Gender,Male,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Female,Labour Party,Having an Extranarital Affair,Oppose EU Integration,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Sexual Harassment,Conservative Party,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party
155.245.28.13,100,14,TRUE,2018/6/4 07:05,R_3Ptdxhwt7HZzwby,,,,,51.90859985,0.920898438,anonymous,EN,6.274,6.274,7.48,1,Prime Minister 2,4.881,4.881,6.636,1,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Conservative Party,Female,Plagiarism,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,Conservative Party,Male,Sexual Harassment,Support EU Integration,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,No Scandal,Liberal Democrats,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Misreporting Funds,Conservative Party
155.245.28.16,100,46,TRUE,2018/6/4 07:07,R_1od6foH3h8TR5Os,,,,,51.90859985,0.920898438,anonymous,EN,25.949,25.949,26.979,1,Prime Minister 2,16.157,17.325,19.111,2,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Misreporting Funds,Female,Liberal Democrats,Conservative Party,Minister's Scandal,No Scandal,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Plagiarism,Male,Conservative Party,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Support EU Integration,Having an Extranarital Affair,EU Integration,Support EU Integration,Scandal,Plagiarism,Oppose EU Integration,Having an Extranarital Affair
155.245.28.4,100,41,TRUE,2018/6/4 07:07,R_dgpJef6cN2vSmAh,,,,,51.90859985,0.920898438,anonymous,EN,36.999,36.999,37.879,1,Prime Minister 1,3.655,3.655,4.807,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Conservative Party,Misreporting Funds,Having an Extranarital Affair,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,Misreporting Funds,Neutral,Minister's Partisanship,Liberal Democrats,Gender,Female,Liberal Democrats,Male,Minister's Partisanship,Liberal Democrats,Gender,Male,Liberal Democrats,Male
155.245.28.8,100,31,TRUE,2018/6/4 07:09,R_2BsY9qoGxV2dPt0,,,,,51.90859985,0.920898438,anonymous,EN,9.286,9.286,13.147,1,Prime Minister 1,16.316,16.316,18.254,1,Prime Minister 2,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Scandal,Plagiarism,Liberal Democrats,Conservative Party,Male,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,Liberal Democrats,Conservative Party,Female,Misreporting Funds,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Sexual Harassment,Neutral,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Misreporting Funds,Support EU Integration
155.245.28.12,100,40,TRUE,2018/6/4 07:09,R_2TGb1gzoJnRm8xg,,,,,51.90859985,0.920898438,anonymous,EN,13.448,13.448,14.792,1,Prime Minister 2,24.335,24.335,25.651,1,Prime Minister 2,Gender,Male,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Female,Plagiarism,Labour Party,Labour Party,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Female,No Scandal,Labour Party,Labour Party,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,No Scandal,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Oppose EU Integration,Having an Extramarital Affair
155.245.28.17,100,34,TRUE,2018/6/4 07:10,R_1FQx7IY8nVdlLTv,,,,,51.90859985,0.920898438,anonymous,EN,14.86,14.86,18.556,1,Prime Minister 1,12.999,12.999,16.332,1,Prime Minister 1,Minister's Scandal,Plagiarism,Scandal,Plagiarism,Gender,Female,EU Integration,Oppose EU Integration,Plagiarism,Sexual Harassment,Female,Neutral,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Misreporting Funds,Having an Extranarital Affair,Female,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Conservative Party,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Conservative Party,Liberal Democrats
155.245.28.2,100,34,TRUE,2018/6/4 07:10,R_1Ke9d8OhmGIWr8y,,,,,51.90859985,0.920898438,anonymous,EN,24.437,24.437,25.355,1,Prime Minister 2,7.997,7.997,9.393,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Female,Labour Party,Sexual Harassment,Neutral,Female,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Gender,Female,Liberal Democrats,No Scandal,Neutral,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extranarital Affair,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Sexual Harassment,Conservative Party
155.245.28.9,100,60,TRUE,2018/6/4 07:11,R_eWghak8rWoLMrqV,,,,,51.90859985,0.920898438,anonymous,EN,17.607,17.607,19.207,1,Prime Minister 1,26.4,37.322,43.059,2,Prime Minister 1,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Female,Oppose EU Integration,Conservative Party,Having an Extranarital Affair,Female,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Gender,Male,Oppose EU Integration,Liberal Democrats,Misreporting Funds,Male,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,No Scandal,Conservative Party
155.245.28.10,100,31,TRUE,2018/6/4 07:11,R_1mOcMGDah2TUKLi,,,,,51.90859985,0.920898438,anonymous,EN,10.29,10.29,16.82,1,Prime Minister 2,12.133,12.133,14.957,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Oppose EU Integration,Plagiarism,Conservative Party,Female,EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,Support EU Integration,Having an Extranarital Affair,Labour Party,Female,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Liberal Democrats,No Scandal,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Labour Party,No Scandal
155.245.28.14,100,30,TRUE,2018/6/4 07:13,R_23dSnXNjzpECpJX,,,,,51.90859985,0.920898438,anonymous,EN,16.759,16.759,18.017,1,Prime Minister 2,10.877,10.877,12.349,1,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Minister's Partisanship,Conservative Party,Labour Party,Sexual Harassment,Female,Labour Party,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Gender,Female,Minister's Partisanship,Conservative Party,Conservative Party,Having an Extramarital Affair,Male,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Sexual Harassment,Neutral,Scandal,Plagiarism,EU Integration,Support EU Integration,Plagiarism,Oppose EU Integration
155.245.28.8,100,22,TRUE,2018/6/4 07:36,R_sCmPy9e5OhvJrr3,,,,,51.90859985,0.920898438,anonymous,EN,10.547,10.547,11.683,1,Prime Minister 1,9.081,9.081,10.281,1,Prime Minister 1,EU Integration,Neutral,Minister's Partisanship,Labour Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Neutral,Conservative Party,Sexual Harassment,No Scandal,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Misreporting Funds,Scandal,Misreporting Funds,Oppose EU Integration,Conservative Party,Plagiarism,Misreporting Funds,Gender,Male,Party Affiliation,Labour Party,Male,Conservative Party,Gender,Female,Party Affiliation,Labour Party,Male,Conservative Party
155.245.28.2,100,22,TRUE,2018/6/4 07:36,R_9XFEStdamfocmWZ,,,,,51.90859985,0.920898438,anonymous,EN,10.232,10.232,11.953,1,Prime Minister 2,9.031,9.031,10.735,1,Prime Minister 1,Gender,Female,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Male,Conservative Party,Liberal Democrats,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Male,Labour Party,Labour Party,Oppose EU Integration,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,Plagiarism,No Scandal,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,Plagiarism,No Scandal
155.245.28.9,100,20,TRUE,2018/6/4 07:36,R_1mwqsp06JGUum70,,,,,51.90859985,0.920898438,anonymous,EN,6.706,6.706,8.505,1,Prime Minister 1,10.387,10.387,12.282,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Sexual Harassment,Conservative Party,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,Liberal Democrats,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,Male,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Female,Conservative Party
155.245.28.10,100,28,TRUE,2018/6/4 07:36,R_2w68xkEBl6CYnjs,,,,,51.90859985,0.920898438,anonymous,EN,11.436,11.436,12.794,1,Prime Minister 1,13.035,13.035,15.315,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Neutral,Misreporting Funds,Labour Party,Labour Party,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Sexual Harassment,Labour Party,Labour Party,Neutral,Gender,Female,Scandal,Plagiarism,Male,Having an Extranarital Affair,Gender,Female,Scandal,Plagiarism,Male,Misreporting Funds
155.245.28.12,100,30,TRUE,2018/6/4 07:38,R_2EAK428QJBSKw8C,,,,,51.90859985,0.920898438,anonymous,EN,8.906,8.906,14.693,1,Prime Minister 1,14.776,14.776,16.052,1,Prime Minister 1,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Labour Party,Female,Oppose EU Integration,Labour Party,Party Affiliation,Labour Party,Gender,Male,EU Integration,Neutral,Minister's Partisanship,Labour Party,Conservative Party,Female,Oppose EU Integration,Conservative Party,Minister's Scandal,Sexual Harassment,Scandal,No Scandal,Having an Extramarital Affair,Having an Extranarital Affair,Minister's Scandal,No Scandal,Scandal,No Scandal,Plagiarism,No Scandal
155.245.28.11,100,44,TRUE,2018/6/4 07:39,R_bDfcWloQ4ca0tfH,,,,,51.90859985,0.920898438,anonymous,EN,13.098,13.098,14.241,1,Prime Minister 1,30.086,30.086,31.619,1,Prime Minister 2,Minister's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,Party Affiliation,Labour Party,Sexual Harassment,Male,Plagiarism,Labour Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Labour Party,No Scandal,Male,Sexual Harassment,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,Oppose EU Integration,Labour Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,Oppose EU Integration,Liberal Democrats
155.245.28.11,100,20,TRUE,2018/6/4 08:04,R_22DHATkRlkYjWL1,,,,,51.90859985,0.920898438,anonymous,EN,8.597,8.597,9.69,1,Prime Minister 2,9.126,9.126,10.186,1,Prime Minister 2,Gender,Female,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Female,Labour Party,Oppose EU Integration,Having an Extranarital Affair,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Female,Liberal Democrats,Neutral,Plagiarism,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Labour Party,No Scandal,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Sexual Harassment
155.245.28.4,100,24,TRUE,2018/6/4 08:06,R_tRhURuun7yMZwIx,,,,,51.90859985,0.920898438,anonymous,EN,6.429,6.429,7.634,1,Prime Minister 1,15.828,15.828,16.662,1,Prime Minister 2,Scandal,No Scandal,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Misreporting Funds,Neutral,Misreporting Funds,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Sexual Harassment,Neutral,Sexual Harassment,Labour Party,Gender,Female,Party Affiliation,Conservative Party,Male,Conservative Party,Gender,Female,Party Affiliation,Labour Party,Female,Labour Party
155.245.28.8,100,21,TRUE,2018/6/4 08:09,R_p4cESS9rwmW7nR7,,,,,51.90859985,0.920898438,anonymous,EN,7.619,7.619,8.471,1,Prime Minister 2,9.749,10.311,11.48,2,Prime Minister 2,Minister's Scandal,Sexual Harassment,Gender,Male,Scandal,Plagiarism,EU Integration,Support EU Integration,No Scandal,Female,Misreporting Funds,Support EU Integration,Minister's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Sexual Harassment,Female,No Scandal,Oppose EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Conservative Party,Conservative Party,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Conservative Party,Conservative Party
155.245.28.2,100,12,TRUE,2018/6/4 08:33,R_3kc5dsjjC3RTP6q,,,,,51.90859985,0.920898438,anonymous,EN,5.522,5.522,6.145,1,Prime Minister 1,4.315,4.315,5.12,1,Prime Minister 1,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Plagiarism,EU Integration,Neutral,Conservative Party,Male,Sexual Harassment,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Conservative Party,Male,No Scandal,Neutral,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Having an Extranarital Affair,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Having an Extranarital Affair,Liberal Democrats
155.245.28.10,100,5,TRUE,2018/6/4 08:34,R_3NKAMOv4gTGFr5t,,,,,51.90859985,0.920898438,anonymous,EN,1.408,1.408,2.438,1,Prime Minister 1,0.372,0.372,1.22,1,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Labour Party,Misreporting Funds,Oppose EU Integration,Plagiarism,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Having an Extramarital Affair,Support EU Integration,Plagiarism,Liberal Democrats,Gender,Female,Party Affiliation,Labour Party,Female,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Female,Conservative Party
155.245.28.11,100,29,TRUE,2018/6/4 08:36,R_4SbNfuqYrxVah0Z,,,,,51.90859985,0.920898438,anonymous,EN,13.604,17.043,18.421,2,Prime Minister 1,10.474,10.474,11.413,1,Prime Minister 2,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Oppose EU Integration,Male,Conservative Party,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Oppose EU Integration,Female,Conservative Party,No Scandal,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,No Scandal,Conservative Party,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Plagiarism,Liberal Democrats
155.245.28.17,100,27,TRUE,2018/6/4 08:36,R_85JEGAvkQEMZvQR,,,,,51.90859985,0.920898438,anonymous,EN,8.036,8.036,9.287,1,Prime Minister 2,15.667,15.667,18.174,1,Prime Minister 1,Minister's Scandal,Sexual Harassment,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Having an Extramarital Affair,Female,Liberal Democrats,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,No Scandal,Male,Labour Party,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Conservative Party,No Scandal,Party Affiliation,Labour Party,Scandal,No Scandal,Labour Party,Having an Extranarital Affair
155.245.28.4,100,30,TRUE,2018/6/4 08:37,R_2dpgqk8tDb72C8c,,,,,51.90859985,0.920898438,anonymous,EN,13.052,13.052,14.184,1,Prime Minister 2,14.777,14.777,15.875,1,Prime Minister 1,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Support EU Integration,Conservative Party,Plagiarism,Misreporting Funds,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Scandal,Sexual Harassment,Support EU Integration,Labour Party,Misreporting Funds,Misreporting Funds,Gender,Female,Party Affiliation,Conservative Party,Male,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Male,Labour Party
155.245.28.15,100,31,TRUE,2018/6/4 08:37,R_3PBNXvHRWarj3GD,,,,,51.90859985,0.920898438,anonymous,EN,14.085,14.085,15.107,1,Prime Minister 1,15.645,15.645,16.609,1,Prime Minister 1,Gender,Female,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Male,Oppose EU Integration,Labour Party,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Male,Oppose EU Integration,Labour Party,Misreporting Funds,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Misreporting Funds,Labour Party,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party
155.245.28.12,100,17,TRUE,2018/6/4 08:37,R_1r1hNzoWA4R9eUV,,,,,51.90859985,0.920898438,anonymous,EN,6.056,6.056,6.842,1,Prime Minister 1,9.407,9.407,10.391,1,Prime Minister 2,Party Affiliation,Labour Party,Scandal,No Scandal,Minister's Partisanship,Labour Party,Gender,Male,Conservative Party,Misreporting Funds,Liberal Democrats,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Gender,Female,Conservative Party,Misreporting Funds,Liberal Democrats,Female,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Oppose EU Integration,Having an Extramarital Affair
155.245.28.14,100,51,TRUE,2018/6/4 08:39,R_1LOqjyFWs0vJO8E,,,,,51.90859985,0.920898438,anonymous,EN,38.176,38.176,43.25,1,Prime Minister 1,7.373,8.043,9.096,2,Prime Minister 2,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Plagiarism,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,No Scandal,Neutral,Misreporting Funds,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Liberal Democrats,Female,Minister's Partisanship,Liberal Democrats,Gender,Female,Labour Party,Male
155.245.28.8,100,67,TRUE,2018/6/4 08:40,R_12scIOwL5s82RfG,,,,,51.90859985,0.920898438,anonymous,EN,30.195,30.874,31.248,2,Prime Minister 1,38.274,38.274,39.25,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,No Scandal,Oppose EU Integration,Liberal Democrats,Conservative Party,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Conservative Party,Scandal,Misreporting Funds,Gender,Female,Misreporting Funds,Female,Scandal,No Scandal,Gender,Male,Having an Extranarital Affair,Male
155.245.28.9,100,35,TRUE,2018/6/4 08:40,R_1OPptoQ6rf9VjPa,,,,,51.90859985,0.920898438,anonymous,EN,20.13,20.13,21.068,1,Prime Minister 2,0.634,12.931,14.088,5,Prime Minister 2,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Having an Extramarital Affair,Conservative Party,Plagiarism,Conservative Party,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Sexual Harassment,Conservative Party,No Scandal,Conservative Party,Gender,Female,EU Integration,Neutral,Female,Support EU Integration,Gender,Female,EU Integration,Oppose EU Integration,Female,Support EU Integration
155.245.28.13,100,52,TRUE,2018/6/4 08:40,R_1rl9TwqLH3HTSrT,,,,,51.90859985,0.920898438,anonymous,EN,18.255,18.255,19.288,1,Prime Minister 1,33.612,33.612,34.773,1,Prime Minister 2,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Minister's Scandal,Misreporting Funds,Liberal Democrats,Oppose EU Integration,Conservative Party,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Labour Party,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Gender,Male,Scandal,Sexual Harassment,Male,Sexual Harassment,Gender,Male,Scandal,Sexual Harassment,Female,Misreporting Funds
155.245.29.130,100,22,TRUE,2018/6/19 03:20,R_3khAkzrFd390L1U,,,,,51.90859985,0.920898438,anonymous,EN,9.253,9.253,10.953,1,Prime Minister 1,10.169,10.169,11.274,1,Prime Minister 1,Minister's Partisanship,Labour Party,Scandal,No Scandal,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Labour Party,Sexual Harassment,No Scandal,Labour Party,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Labour Party,No Scandal,Having an Extramarital Affair,Labour Party,EU Integration,Support EU Integration,Gender,Female,Neutral,Male,EU Integration,Support EU Integration,Gender,Male,Support EU Integration,Female
