,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
62,155.245.28.8,100,46,TRUE,2018/4/26 06:04,R_SBqLhpvIVFJkxTX,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.283,0,13.844,13.844,14.42,1,Minister 2,12.22,12.22,13.292,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Scandal,Misreporting Funds,Neutral,Neutral,Conservative Party,Male,Conservative Party,Having an Extramarital Affair,No Scandal,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,PM's Scandal,No Scandal,Scandal,Misreporting Funds,Support EU Integration,Support EU Integration,Labour Party,Male,Labour Party,Sexual Harassment,Plagiarism
63,155.245.28.4,100,80,TRUE,2018/4/26 06:05,R_vJkcTcQ37BSLwOZ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,57.87,0,8.224,8.224,9.524,1,Minister 2,14.762,14.762,15.695,1,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Female,Conservative Party,Support EU Integration,Plagiarism,Oppose EU Integration,No Scandal,Liberal Democrats,Male,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,Conservative Party,Support EU Integration,Plagiarism,Neutral,Plagiarism,Liberal Democrats,Female
64,155.245.28.2,100,91,TRUE,2018/4/26 06:06,R_1pniXItjROHBxIA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,37.323,0,17.519,35.707,38.236,3,Minister 1,17.032,17.032,18.699,1,Minister 1,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Misreporting Funds,Neutral,Conservative Party,Neutral,Male,Conservative Party,Plagiarism,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,Plagiarism,Support EU Integration,Conservative Party,Oppose EU Integration,Male,Conservative Party,Misreporting Funds
65,155.245.28.9,100,134,TRUE,2018/4/26 06:08,R_1159i01WnioGzwG,,,,,51.90859985,0.920898438,anonymous,EN,0,0,55.231,0,22.638,22.638,38.118,1,Minister 2,31.313,31.313,32.642,1,Minister 1,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Conservative Party,Misreporting Funds,Male,Liberal Democrats,No Scandal,Neutral,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Labour Party,Sexual Harassment,Male,Labour Party,Sexual Harassment,Neutral,Support EU Integration
66,155.245.28.2,100,78,TRUE,2018/4/26 06:33,R_3KUyaXDNxuwGpu8,,,,,51.90859985,0.920898438,anonymous,EN,0,0,42.095,0,19.297,19.297,21.843,1,Minister 2,12.648,12.648,15.303,1,Minister 1,Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Plagiarism,Neutral,Male,Neutral,Conservative Party,Plagiarism,Liberal Democrats,Scandal,Plagiarism,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Female,Oppose EU Integration,Conservative Party,No Scandal,Conservative Party
67,155.245.28.8,100,42,TRUE,2018/4/26 06:35,R_1kFl2doJYghIknc,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.966,0,16.56,16.56,17.704,1,Minister 2,9.3,9.3,10.758,1,Minister 1,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,Plagiarism,Conservative Party,Plagiarism,Conservative Party,Support EU Integration,Neutral,Female,No Scandal,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,Misreporting Funds,Conservative Party,Misreporting Funds,Conservative Party,Neutral,Oppose EU Integration,Female,Misreporting Funds
68,155.245.28.4,100,90,TRUE,2018/4/26 06:35,R_1GQhSmIYsmKVMgd,,,,,51.90859985,0.920898438,anonymous,EN,0,0,53.639,0,27.884,27.884,29.45,1,Minister 1,8.274,8.274,10.46,1,Minister 2,EU Integration,Oppose EU Integration,Scandal,Plagiarism,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Neutral,Plagiarism,Conservative Party,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Neutral,Having an Extramarital Affair,Conservative Party,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration
69,155.245.28.9,100,83,TRUE,2018/4/26 06:47,R_2fE9GB4054Ywg37,,,,,51.90859985,0.920898438,anonymous,EN,0,0,52.478,0,18.601,18.601,19.787,1,Minister 1,11.958,11.958,13.808,1,Minister 2,Scandal,No Scandal,PM's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Plagiarism,Plagiarism,Neutral,Liberal Democrats,Support EU Integration,Conservative Party,Male,Scandal,Sexual Harassment,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Plagiarism,No Scandal,Support EU Integration,Liberal Democrats,Neutral,Conservative Party,Female
70,155.245.28.22,100,28,TRUE,2018/5/29 07:08,R_31Xi5VsJqgyV7lN,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.226,0,13.025,13.025,15.202,1,Minister 2,8.864,8.864,10.036,1,Minister 2,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Female,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Female,Plagiarism,Oppose EU Integration,Liberal Democrats,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Conservative Party,Having an Extramarital Affair,Male,Misreporting Funds,Support EU Integration,Liberal Democrats,Support EU Integration
71,155.245.28.24,100,21,TRUE,2018/5/29 07:08,R_1OUe5AoZZp92XBA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.272,0,1.952,1.952,3.241,1,Minister 2,11.207,11.207,12.037,1,Minister 1,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,EU Integration,Neutral,Gender,Male,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Support EU Integration,Having an Extramarital Affair,Neutral,Female,Conservative Party,No Scandal,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Support EU Integration,Plagiarism,Support EU Integration,Male,Conservative Party,Plagiarism,Conservative Party
72,155.245.28.10,100,46,TRUE,2018/5/29 07:08,R_2OSzd16MYZS1YMo,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.267,0,15.922,15.922,22.37,1,Minister 1,6.547,6.547,15.887,1,Minister 1,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Gender,Male,Party Affiliation,Liberal Democrats,Sexual Harassment,Oppose EU Integration,Conservative Party,Oppose EU Integration,Sexual Harassment,Male,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Gender,Male,Party Affiliation,Labour Party,Sexual Harassment,Neutral,Conservative Party,Neutral,Sexual Harassment,Female,Conservative Party
73,155.245.28.13,100,20,TRUE,2018/5/29 07:08,R_2Ui8qJ6vuDosoeC,,,,,51.90859985,0.920898438,anonymous,EN,0,0,4.179,0,4.898,4.898,5.574,1,Minister 2,8.209,8.209,9.233,1,Minister 1,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Plagiarism,Support EU Integration,Having an Extramarital Affair,Labour Party,Neutral,Labour Party,Female,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Plagiarism,Oppose EU Integration,Sexual Harassment,Conservative Party,Support EU Integration,Liberal Democrats,Male
74,155.245.28.21,100,40,TRUE,2018/5/29 07:08,R_3k1hU4p2qkgPjOJ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,17.656,0,12.505,12.505,13.752,1,Minister 1,7.496,7.496,8.464,1,Minister 1,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,Female,Liberal Democrats,Plagiarism,Support EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment,Gender,Female,Party Affiliation,Labour Party,PM's Scandal,No Scandal,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Female,Conservative Party,Having an Extramarital Affair,Oppose EU Integration,Oppose EU Integration,Conservative Party,Sexual Harassment
75,155.245.28.11,100,58,TRUE,2018/5/29 07:09,R_3t3J4uMaPUTADrH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.59,0,25.396,25.396,27.032,1,Minister 1,8.074,8.074,11.195,1,Minister 2,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Gender,Female,Support EU Integration,Labour Party,Labour Party,Having an Extramarital Affair,Plagiarism,Support EU Integration,Female,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Gender,Female,Support EU Integration,Conservative Party,Liberal Democrats,No Scandal,No Scandal,Neutral,Male
76,155.245.28.26,100,36,TRUE,2018/5/29 07:09,R_1FyamOx6R9ttLkU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.397,0,18.172,18.172,19.921,1,Minister 1,7.022,7.022,10.829,1,Minister 1,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Conservative Party,Misreporting Funds,Neutral,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Conservative Party,No Scandal,Oppose EU Integration,Male,Misreporting Funds,Oppose EU Integration,Conservative Party
77,155.245.28.16,100,42,TRUE,2018/5/29 07:09,R_3PzXXDkgyPKS98d,,,,,51.90859985,0.920898438,anonymous,EN,5.737,5.737,16.667,1,8.212,13.216,14.467,3,Minister 1,6.067,11.283,11.621,4,Minister 2,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Labour Party,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Support EU Integration,Neutral,Having an Extramarital Affair,Male,Liberal Democrats,Having an Extramarital Affair,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Oppose EU Integration,Neutral,No Scandal,Female,Labour Party,Misreporting Funds,Labour Party
78,155.245.28.23,100,22,TRUE,2018/5/29 07:09,R_Rwpx3EblM4VRiOl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.15,0,8.482,8.482,9.414,1,Minister 2,8.065,8.065,9.451,1,Minister 1,Gender,Male,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Male,Conservative Party,Sexual Harassment,Sexual Harassment,Neutral,Neutral,Conservative Party,Gender,Female,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Scandal,No Scandal,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Female,Labour Party,Misreporting Funds,No Scandal,Support EU Integration,Neutral,Labour Party
79,155.245.28.17,100,54,TRUE,2018/5/29 07:10,R_2zZmbrm7HlxEf0n,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19,0,24.837,24.837,27.017,1,Minister 1,7.179,7.179,9.362,1,Minister 1,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Misreporting Funds,Conservative Party,Support EU Integration,Plagiarism,Liberal Democrats,Female,Oppose EU Integration,PM's Scandal,Sexual Harassment,PM's Partisanship,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Neutral,Misreporting Funds,Conservative Party,Support EU Integration,Sexual Harassment,Liberal Democrats,Female,Support EU Integration
80,155.245.28.20,100,56,TRUE,2018/5/29 07:11,R_2DODeTTvGEUw73i,,,,,51.90859985,0.920898438,anonymous,EN,0,0,12.785,0,17.368,24.219,28.298,2,Minister 2,13.975,13.975,15.957,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Conservative Party,Support EU Integration,Female,No Scandal,Neutral,Sexual Harassment,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,Conservative Party,Neutral,Male,Having an Extramarital Affair,Neutral,Having an Extramarital Affair,Liberal Democrats
81,155.245.28.2,100,114,TRUE,2018/5/29 07:13,R_247rQ1bkFMrGs2T,,,,,51.90859985,0.920898438,anonymous,EN,0,0,47.01,0,45.907,45.907,47.209,1,Minister 2,22.482,22.482,24.16,1,Minister 1,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Support EU Integration,Conservative Party,No Scandal,Liberal Democrats,No Scandal,Oppose EU Integration,Male,Neutral,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Conservative Party,Sexual Harassment,Oppose EU Integration,Male,Oppose EU Integration
82,155.245.28.12,100,190,TRUE,2018/5/29 07:17,R_x4xXrM1Upu02lYl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,91.962,0,35.325,35.325,36.511,1,Minister 2,67.979,67.979,71.284,1,Minister 2,Gender,Male,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Female,No Scandal,Labour Party,Support EU Integration,Labour Party,Oppose EU Integration,No Scandal,Gender,Female,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Scandal,Misreporting Funds,Male,Plagiarism,Conservative Party,Neutral,Liberal Democrats,Oppose EU Integration,No Scandal
83,155.245.28.10,100,26,TRUE,2018/5/29 07:33,R_2q4X0GXGiECzs4E,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.526,0,7.104,7.104,8.516,1,Minister 2,4.467,12.301,13.542,3,Minister 1,PM's Position in EU Integration,Neutral,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Support EU Integration,Having an Extramarital Affair,Conservative Party,Conservative Party,Female,Support EU Integration,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Support EU Integration,No Scandal,Liberal Democrats,Conservative Party,Female,Oppose EU Integration,Sexual Harassment
84,155.245.28.8,100,50,TRUE,2018/5/29 07:36,R_3CQ7oH8KzSl2ds3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,2.893,0,23.892,23.892,27.48,1,Minister 1,19.34,19.34,20.228,1,Minister 2,Gender,Female,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Female,Support EU Integration,Conservative Party,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Support EU Integration,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,EU Integration,Neutral,Female,Oppose EU Integration,Labour Party,No Scandal,Sexual Harassment,Labour Party,Neutral
85,155.245.28.2,100,75,TRUE,2018/5/29 07:36,R_1o5agTdfhoVU3yR,,,,,51.90859985,0.920898438,anonymous,EN,0,0,22.403,0,15.357,39.799,40.827,5,Minister 2,4.83,4.83,13.892,1,Minister 1,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Support EU Integration,Having an Extramarital Affair,Male,Conservative Party,Liberal Democrats,Oppose EU Integration,Misreporting Funds,EU Integration,Support EU Integration,Scandal,No Scandal,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,Support EU Integration,Sexual Harassment,Male,Labour Party,Labour Party,Support EU Integration,Misreporting Funds
86,155.245.28.4,100,58,TRUE,2018/5/29 08:08,R_22VXkZJsCcfoVkO,,,,,51.90859985,0.920898438,anonymous,EN,0,0,27.929,0,22.226,22.226,22.827,1,Minister 2,7.353,7.353,8.622,1,Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Oppose EU Integration,Liberal Democrats,No Scandal,Conservative Party,Female,Having an Extramarital Affair,Support EU Integration,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Gender,Female,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,Female,Having an Extramarital Affair,Support EU Integration
87,155.245.28.9,100,104,TRUE,2018/5/29 08:09,R_AgmvsAn4pqzN4M9,,,,,51.90859985,0.920898438,anonymous,EN,0,0,62.208,0,27.059,27.059,28.434,1,Minister 1,16.411,16.411,17.283,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Support EU Integration,Plagiarism,Male,Liberal Democrats,Oppose EU Integration,Misreporting Funds,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Plagiarism,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Neutral,Sexual Harassment,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,Conservative Party
88,155.245.28.9,100,61,TRUE,2018/5/29 08:38,R_2wnlpp3hYEcYBpA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,10.117,0,20.686,24.199,27.158,2,Minister 2,23.091,23.091,24.514,1,Minister 2,Scandal,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Male,Misreporting Funds,Liberal Democrats,Neutral,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Male,PM's Scandal,Plagiarism,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Plagiarism,Oppose EU Integration,Conservative Party,Female,Having an Extramarital Affair,Liberal Democrats,Neutral
89,155.245.28.2,100,20,TRUE,2018/5/29 09:39,R_3qmQU30QxFOK7h3,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.551,0,5.859,5.859,6.913,1,Minister 1,4.874,4.874,6.064,1,Minister 2,EU Integration,Neutral,PM's Scandal,Sexual Harassment,Gender,Female,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,Scandal,Plagiarism,PM's Partisanship,Labour Party,Oppose EU Integration,Sexual Harassment,Male,Oppose EU Integration,Liberal Democrats,Sexual Harassment,Conservative Party,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Support EU Integration,No Scandal,Female,Neutral,Conservative Party,No Scandal,Conservative Party
90,155.245.28.4,100,43,TRUE,2018/5/29 09:42,R_PZjM5FlNqsmPlUR,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.873,0,8.908,8.908,9.739,1,Minister 2,9.46,9.46,11.386,1,Minister 1,Gender,Male,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Male,Support EU Integration,Neutral,No Scandal,Liberal Democrats,Conservative Party,No Scandal,Gender,Female,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Scandal,No Scandal,Female,Neutral,Neutral,Sexual Harassment,Liberal Democrats,Conservative Party,No Scandal
91,155.245.28.2,100,30,TRUE,2018/5/29 10:06,R_3Hjn7wTUk1knmaQ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.024,0,8.747,8.747,9.845,1,Minister 2,3.434,3.434,4.396,1,Minister 2,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Gender,Male,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,No Scandal,Liberal Democrats,Male,Oppose EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Labour Party,Misreporting Funds,Labour Party,Male,Oppose EU Integration,Oppose EU Integration
92,155.245.28.9,100,27,TRUE,2018/5/29 10:07,R_2PaLIQCHsWBi0sZ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.192,0,6.619,7.225,7.724,2,Minister 1,2.853,3.675,5.933,2,Minister 2,Gender,Male,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Party Affiliation,Labour Party,Male,Labour Party,No Scandal,Having an Extramarital Affair,Oppose EU Integration,Oppose EU Integration,Labour Party,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Male,Labour Party,Sexual Harassment,Misreporting Funds,Support EU Integration,Support EU Integration,Labour Party
