IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6,F-1-7,F-1-1-7,F-1-2-7,F-2-7,F-2-1-7,F-2-2-7
155.245.28.14,100,100,TRUE,2018/6/4 05:44,R_2wgnbyAjhvqGfFU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,46.77,0,25.19,25.19,27.324,1,Minister 2,25.404,25.404,29.327,1,Minister 2,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Labour Party,Plagiarism,Neutral,Male,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Gender,Male,PM's Partisanship,Conservative Party,Misreporting Funds,Support EU Integration,Female,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Sexual Harassment,Conservative Party,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Labour Party,Sexual Harassment,PM's Position in EU Integration,Support EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Neutral
155.245.28.32,100,63,TRUE,2018/6/4 05:44,R_1QgdNW3gihTiUlq,,,,,51.90859985,0.920898438,anonymous,EN,0,0,39.69,0,11.352,11.352,12.487,1,Minister 1,12.005,12.005,12.958,1,Minister 1,Gender,Female,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,Male,Plagiarism,Conservative Party,Neutral,Gender,Male,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Position in EU Integration,Support EU Integration,Female,Plagiarism,Conservative Party,Neutral,Scandal,No Scandal,EU Integration,Support EU Integration,Plagiarism,Oppose EU Integration,Scandal,Plagiarism,EU Integration,Neutral,Plagiarism,Support EU Integration,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Labour Party,Conservative Party
155.245.28.37,100,46,TRUE,2018/6/4 05:44,R_322SljiBFyRGHdv,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.52,0,26.179,26.179,27.217,1,Minister 2,9.69,9.69,11.668,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Oppose EU Integration,Male,Having an Extramarital Affair,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Support EU Integration,Female,Plagiarism,Labour Party,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Liberal Democrats,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Labour Party,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,PM's Scandal,Having an Extramarital Affair,No Scandal
155.245.28.2,100,112,TRUE,2018/6/4 05:45,R_D1ZWHbpdnoKO17r,,,,,51.90859985,0.920898438,anonymous,EN,0,0,38.767,0,49.969,49.969,50.773,1,Minister 2,25.755,25.755,27.699,1,Minister 2,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Male,Oppose EU Integration,Liberal Democrats,Having an Extramarital Affair,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Female,Neutral,Labour Party,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Neutral,Plagiarism,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Labour Party
155.245.28.25,100,82,TRUE,2018/6/4 05:45,R_3GqRhzugmHnSXRh,,,,,51.90859985,0.920898438,anonymous,EN,0,0,23.537,0,20.916,23.159,24.455,2,Minister 2,10.494,10.494,37.238,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Neutral,Misreporting Funds,Neutral,Sexual Harassment,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Neutral,Plagiarism,Neutral,Misreporting Funds,Gender,Female,Party Affiliation,Conservative Party,Male,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Female,Labour Party,PM's Partisanship,Conservative Party,Conservative Party,PM's Partisanship,Conservative Party,Labour Party
155.245.28.36,100,91,TRUE,2018/6/4 05:46,R_0NdUXyy8mgGR87n,,,,,51.90859985,0.920898438,anonymous,EN,0,0,45.34,0,34.206,34.206,35.086,1,Minister 1,13.29,13.29,14.759,1,Minister 2,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Female,Labour Party,Neutral,Sexual Harassment,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Male,Conservative Party,Neutral,Misreporting Funds,Male,EU Integration,Neutral,Party Affiliation,Labour Party,Oppose EU Integration,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Oppose EU Integration,Conservative Party,Scandal,No Scandal,No Scandal,Scandal,Misreporting Funds,No Scandal
155.245.28.2,100,23,TRUE,2018/6/4 06:07,R_1Kq1cbrFmYbLpCo,,,,,51.90859985,0.920898438,anonymous,EN,0,0,10.169,0,5.243,6.124,6.507,2,Minister 1,4.122,4.122,4.99,1,Minister 1,EU Integration,Neutral,Gender,Male,Scandal,Misreporting Funds,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Female,Plagiarism,Sexual Harassment,EU Integration,Neutral,Gender,Female,Scandal,No Scandal,PM's Scandal,Misreporting Funds,Oppose EU Integration,Female,Having an Extramarital Affair,Sexual Harassment,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Labour Party,Labour Party,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Liberal Democrats,Conservative Party,PM's Position in EU Integration,Neutral,Neutral,PM's Position in EU Integration,Neutral,Support EU Integration
155.245.28.20,100,30,TRUE,2018/6/4 06:07,R_9U2eHiKoUpWHQGZ,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.323,0,7.01,7.01,12.109,1,Minister 2,9.449,9.449,10.684,1,Minister 2,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Gender,Male,Scandal,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Female,Plagiarism,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Gender,Female,Scandal,Sexual Harassment,Neutral,Conservative Party,Male,Having an Extramarital Affair,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,No Scandal,Labour Party,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,PM's Position in EU Integration,Support EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Neutral
155.245.28.4,100,68,TRUE,2018/6/4 06:08,R_6Awwc5DQnftVdGp,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.306,0,1.931,25.308,28.302,2,Minister 1,22.276,23.132,23.619,2,Minister 2,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Female,Misreporting Funds,Conservative Party,Neutral,Female,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Sexual Harassment,Conservative Party,Oppose EU Integration,Female,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Having an Extramarital Affair,Oppose EU Integration,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Misreporting Funds,Neutral,Party Affiliation,Conservative Party,Conservative Party,Party Affiliation,Conservative Party,Liberal Democrats
155.245.28.22,100,33,TRUE,2018/6/4 06:08,R_2ci2vKuWMD21gBA,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.094,0,20.731,20.731,21.598,1,Minister 2,6.731,6.731,8.4,1,Minister 2,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Plagiarism,Conservative Party,Misreporting Funds,Liberal Democrats,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,No Scandal,Conservative Party,No Scandal,Liberal Democrats,Gender,Male,PM's Position in EU Integration,Neutral,Male,Neutral,Gender,Female,PM's Position in EU Integration,Neutral,Male,Support EU Integration,EU Integration,Neutral,Support EU Integration,EU Integration,Neutral,Neutral
155.245.28.14,100,40,TRUE,2018/6/4 06:08,R_33lMpEb27CK0T1j,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.047,0,11.648,15.03,16.047,2,Minister 2,8.365,10.216,11.21,2,Minister 2,PM's Position in EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Neutral,Male,Liberal Democrats,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Support EU Integration,Male,Labour Party,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Plagiarism,Conservative Party,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Misreporting Funds,Labour Party,PM's Scandal,Having an Extramarital Affair,Having an Extramarital Affair,PM's Scandal,Plagiarism,No Scandal
155.245.28.17,100,34,TRUE,2018/6/4 06:08,R_1d5kUwb8GA3219v,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.293,0,8.986,8.986,10.75,1,Minister 1,1.346,2.842,19.656,2,Minister 1,Gender,Female,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Male,No Scandal,Conservative Party,Liberal Democrats,Gender,Female,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Male,Sexual Harassment,Conservative Party,Conservative Party,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Plagiarism,Oppose EU Integration,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Oppose EU Integration,EU Integration,Neutral,Support EU Integration,EU Integration,Neutral,Support EU Integration
155.245.28.19,100,49,TRUE,2018/6/4 06:09,R_262AqQwPRGVGosl,,,,,51.90859985,0.920898438,anonymous,EN,0,0,11.778,0,19.785,19.785,21.362,1,Minister 1,15.09,15.09,16.862,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,Support EU Integration,Female,Sexual Harassment,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Neutral,Male,Sexual Harassment,Conservative Party,EU Integration,Neutral,Scandal,Misreporting Funds,Support EU Integration,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Plagiarism,Neutral,No Scandal,Party Affiliation,Liberal Democrats,Conservative Party,Party Affiliation,Labour Party,Liberal Democrats
155.245.28.11,100,55,TRUE,2018/6/4 06:09,R_2WwcTToH3ERoTAS,,,,,51.90859985,0.920898438,anonymous,EN,0,0,31.146,0,8.687,8.687,10.358,1,Minister 2,12.606,12.606,13.913,1,Minister 1,Gender,Female,Party Affiliation,Conservative Party,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Male,Conservative Party,No Scandal,Oppose EU Integration,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Female,Labour Party,Misreporting Funds,Neutral,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Conservative Party,Oppose EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Labour Party,Neutral,PM's Scandal,Plagiarism,Misreporting Funds,PM's Scandal,No Scandal,Plagiarism
155.245.28.12,100,59,TRUE,2018/6/4 06:09,R_216Wi71z5v2YEYF,,,,,51.90859985,0.920898438,anonymous,EN,0,0,44.339,0,6.962,6.962,8.004,1,Minister 2,7.812,7.812,8.54,1,Minister 1,Gender,Female,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Male,Having an Extramarital Affair,Neutral,Liberal Democrats,Gender,Male,Scandal,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Female,No Scandal,Oppose EU Integration,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,No Scandal,Support EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Plagiarism,Oppose EU Integration,PM's Partisanship,Labour Party,Conservative Party,PM's Partisanship,Conservative Party,Conservative Party
155.245.28.10,100,35,TRUE,2018/6/4 06:10,R_3j7LVX2JOlTLhsd,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.945,0,15.301,15.301,17.452,1,Minister 2,5.595,5.595,8.348,1,Minister 1,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Female,Labour Party,Neutral,Plagiarism,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,PM's Scandal,No Scandal,Male,Conservative Party,Neutral,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Support EU Integration,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Oppose EU Integration,Liberal Democrats,Scandal,Plagiarism,Plagiarism,Scandal,No Scandal,No Scandal
155.245.28.13,100,54,TRUE,2018/6/4 06:12,R_tXtePn99gPJZTTH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.959,0,25.612,25.612,26.842,1,Minister 1,10.685,10.685,12.548,1,Minister 2,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Gender,Male,Plagiarism,Support EU Integration,Conservative Party,Female,PM's Scandal,Misreporting Funds,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Male,Misreporting Funds,Neutral,Conservative Party,Male,Party Affiliation,Labour Party,Scandal,No Scandal,Conservative Party,Plagiarism,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,Conservative Party,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Neutral,PM's Position in EU Integration,Neutral,Support EU Integration
155.245.28.9,100,70,TRUE,2018/6/4 06:14,R_3fBtCt9BeZSXZUC,,,,,51.90859985,0.920898438,anonymous,EN,0,0,33.508,0,23.236,23.236,24.182,1,Minister 1,14.143,14.143,14.747,1,Minister 2,PM's Scandal,No Scandal,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,No Scandal,Support EU Integration,Oppose EU Integration,Labour Party,PM's Scandal,Plagiarism,EU Integration,Neutral,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Plagiarism,Neutral,Support EU Integration,Labour Party,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Labour Party,Having an Extramarital Affair,Party Affiliation,Labour Party,Scandal,Plagiarism,Labour Party,No Scandal,Gender,Male,Female,Gender,Male,Male
155.245.28.12,100,35,TRUE,2018/6/4 06:37,R_2Cvo1WoMCJdVSpm,,,,,51.90859985,0.920898438,anonymous,EN,0,0,18.215,0,5.277,5.277,6.865,1,Minister 2,8.619,8.619,9.623,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,Support EU Integration,Neutral,Conservative Party,No Scandal,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Neutral,Oppose EU Integration,Labour Party,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,Conservative Party,Female,PM's Partisanship,Labour Party,Gender,Female,Labour Party,Male,Scandal,Plagiarism,No Scandal,Scandal,Having an Extramarital Affair,Having an Extramarital Affair
155.245.28.9,100,40,TRUE,2018/6/4 06:37,R_3PB5GgXihWvxXpz,,,,,51.90859985,0.920898438,anonymous,EN,0,0,19.03,0,11.75,11.75,12.883,1,Minister 2,5.803,7.435,8.424,2,Minister 1,Gender,Male,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Female,Plagiarism,Labour Party,Labour Party,Gender,Male,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Female,No Scandal,Conservative Party,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Support EU Integration,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Oppose EU Integration,No Scandal,EU Integration,Support EU Integration,Support EU Integration,EU Integration,Support EU Integration,Oppose EU Integration
155.245.28.4,100,50,TRUE,2018/6/4 06:37,R_3kdjhXPkKWZ5g6L,,,,,51.90859985,0.920898438,anonymous,EN,6.832,6.832,7.316,1,0.792,17,31.305,4,Minister 2,5.009,11.783,12.88,2,Minister 1,EU Integration,Support EU Integration,Gender,Male,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,Support EU Integration,Male,Oppose EU Integration,No Scandal,EU Integration,Support EU Integration,Gender,Female,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Oppose EU Integration,Female,Support EU Integration,Sexual Harassment,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Labour Party,Labour Party,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Liberal Democrats,Conservative Party,Scandal,Plagiarism,No Scandal,Scandal,No Scandal,Having an Extramarital Affair
155.245.28.13,100,38,TRUE,2018/6/4 06:39,R_2pS86VOuVgvLIYd,,,,,51.90859985,0.920898438,anonymous,EN,0,0,5.713,0,9.026,9.026,11.112,1,Minister 1,19.909,19.909,21.401,1,Minister 2,Party Affiliation,Conservative Party,Gender,Male,PM's Scandal,No Scandal,Scandal,Having an Extramarital Affair,Labour Party,Male,Sexual Harassment,No Scandal,Party Affiliation,Liberal Democrats,Gender,Male,PM's Scandal,Misreporting Funds,Scandal,No Scandal,Liberal Democrats,Female,Sexual Harassment,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Support EU Integration,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Neutral,Conservative Party,EU Integration,Oppose EU Integration,Neutral,EU Integration,Oppose EU Integration,Oppose EU Integration
155.245.28.11,100,99,TRUE,2018/6/4 06:41,R_1JRPRJqZlhCQqy9,,,,,51.90859985,0.920898438,anonymous,EN,41.055,41.055,41.809,1,45.785,45.785,47.184,1,Minister 1,11.663,11.663,14.284,1,Minister 1,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,Male,Conservative Party,Liberal Democrats,No Scandal,Gender,Male,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,Male,Conservative Party,Liberal Democrats,Sexual Harassment,Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Support EU Integration,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Misreporting Funds,Oppose EU Integration,EU Integration,Support EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Oppose EU Integration
155.245.28.2,100,33,TRUE,2018/6/4 06:43,R_3EcDvPYgBZgAv5d,,,,,51.90859985,0.920898438,anonymous,EN,0,0,1.66,0,10.286,10.944,12.335,2,Minister 2,18.166,18.166,19.452,1,Minister 1,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,Misreporting Funds,Conservative Party,Neutral,Female,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Scandal,No Scandal,Conservative Party,Neutral,Male,No Scandal,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Neutral,Sexual Harassment,EU Integration,Neutral,PM's Scandal,No Scandal,Oppose EU Integration,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Liberal Democrats,Party Affiliation,Liberal Democrats,Liberal Democrats
155.245.28.13,100,39,TRUE,2018/6/4 07:06,R_08SsWu8xiHSI6jf,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.755,0,13.575,13.575,16.288,1,Minister 2,5.606,12.149,14.318,6,Minister 2,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Scandal,No Scandal,Labour Party,Labour Party,Oppose EU Integration,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,PM's Scandal,No Scandal,Labour Party,Labour Party,Oppose EU Integration,Having an Extramarital Affair,Gender,Male,Scandal,Sexual Harassment,Male,Misreporting Funds,Gender,Male,Scandal,No Scandal,Female,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Support EU Integration
155.245.28.4,100,53,TRUE,2018/6/4 07:08,R_eXq9PdSeePDpGox,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.509,0,24.982,24.982,25.795,1,Minister 2,10.958,11.741,13.189,2,Minister 1,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Male,Oppose EU Integration,Conservative Party,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Male,Support EU Integration,Conservative Party,Conservative Party,PM's Scandal,Plagiarism,PM's Position in EU Integration,Neutral,No Scandal,Neutral,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Oppose EU Integration,Scandal,No Scandal,Plagiarism,Scandal,No Scandal,No Scandal
155.245.28.16,100,76,TRUE,2018/6/4 07:08,R_10Nncr3C5QFiA08,,,,,51.90859985,0.920898438,anonymous,EN,0,0,25.684,0,35.107,35.107,36.735,1,Minister 1,14.796,14.796,16.079,1,Minister 2,Party Affiliation,Labour Party,Scandal,Sexual Harassment,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Conservative Party,Having an Extramarital Affair,Sexual Harassment,Conservative Party,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Conservative Party,Plagiarism,No Scandal,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Neutral,Female,PM's Position in EU Integration,Neutral,Gender,Male,Neutral,Male,EU Integration,Support EU Integration,Neutral,EU Integration,Oppose EU Integration,Support EU Integration
155.245.28.8,100,40,TRUE,2018/6/4 07:10,R_sUs4e8ySRkOqbh7,,,,,51.90859985,0.920898438,anonymous,EN,0,0,9.541,0,9.202,9.202,11.644,1,Minister 1,15.471,15.471,18.908,1,Minister 1,Scandal,Having an Extramarital Affair,PM's Scandal,No Scandal,Gender,Female,PM's Partisanship,Labour Party,Having an Extramarital Affair,Sexual Harassment,Male,Labour Party,Scandal,Misreporting Funds,PM's Scandal,No Scandal,Gender,Male,PM's Partisanship,Conservative Party,Sexual Harassment,Plagiarism,Female,Conservative Party,Party Affiliation,Labour Party,EU Integration,Neutral,Labour Party,Oppose EU Integration,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Liberal Democrats,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Support EU Integration
155.245.28.2,100,37,TRUE,2018/6/4 07:10,R_1roY5zJSixH4ctp,,,,,51.90859985,0.920898438,anonymous,EN,0,0,14.926,0,9.629,9.629,10.625,1,Minister 1,9.434,9.434,11.035,1,Minister 1,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Labour Party,Labour Party,Sexual Harassment,Oppose EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,No Scandal,EU Integration,Support EU Integration,Labour Party,Labour Party,Plagiarism,Oppose EU Integration,Gender,Female,PM's Scandal,Sexual Harassment,Male,Sexual Harassment,Gender,Male,PM's Scandal,No Scandal,Male,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Oppose EU Integration
155.245.28.12,100,67,TRUE,2018/6/4 07:10,R_27ptpv0JFMlOmWW,,,,,51.90859985,0.920898438,anonymous,EN,22.793,22.793,23.749,1,22.176,22.176,24.164,1,Minister 2,14.998,18.544,21.221,2,Minister 2,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Oppose EU Integration,Female,Conservative Party,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,EU Integration,Neutral,Neutral,Female,Conservative Party,Oppose EU Integration,PM's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Sexual Harassment,Plagiarism,PM's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Plagiarism,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Liberal Democrats,Party Affiliation,Conservative Party,Conservative Party
155.245.28.17,100,101,TRUE,2018/6/4 07:11,R_2Cf9pak1VrWsos8,,,,,51.90859985,0.920898438,anonymous,EN,0,0,4.358,0,35.092,35.092,35.707,1,Minister 1,31.52,31.52,64.942,1,Minister 1,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Liberal Democrats,Neutral,Plagiarism,Neutral,Party Affiliation,Liberal Democrats,EU Integration,Neutral,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Labour Party,Oppose EU Integration,Misreporting Funds,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Female,Conservative Party,Gender,Male,PM's Partisanship,Conservative Party,Male,Labour Party,Scandal,Having an Extramarital Affair,No Scandal,Scandal,Having an Extramarital Affair,Plagiarism
155.245.28.9,100,65,TRUE,2018/6/4 07:12,R_2zo6QDfOS5GZQ4x,,,,,51.90859985,0.920898438,anonymous,EN,0,0,26.477,0,15.342,15.342,22.289,1,Minister 2,17.567,17.567,19.183,1,Minister 2,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Gender,Female,Conservative Party,Support EU Integration,Support EU Integration,Male,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Gender,Male,Conservative Party,Neutral,Neutral,Female,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Having an Extramarital Affair,Conservative Party,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,No Scandal,Conservative Party,Scandal,Sexual Harassment,Plagiarism,Scandal,Sexual Harassment,Having an Extramarital Affair
