,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
268,82.132.228.55,100,37,TRUE,2018/6/19 06:28,R_3nqSqGuxcSfuZ4b,NA,NA,NA,NA,53.38330078,-2.600006104,anonymous,EN,9.179,13.691,15.58,3,1.012,19.484,20.096,5,Prime Minister 1,2.516,5.474,5.546,6,Prime Minister 1,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Sexual Harassment,Conservative Party,Conservative Party,Female,Sexual Harassment,Neutral,Scandal,Plagiarism,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Sexual Harassment,Conservative Party,Liberal Democrats,Female,Misreporting Funds,Oppose EU Integration
269,90.219.104.118,100,90,TRUE,2018/6/19 06:28,R_40Z68NwpqXl1l0B,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,18.375,28.881,38.671,6,24.22,25.721,26.456,3,Prime Minister 1,15.65,18.992,24.05,3,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Male,Plagiarism,Oppose EU Integration,Conservative Party,Conservative Party,Misreporting Funds,Male,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Gender,Male,Sexual Harassment,Neutral,Conservative Party,Conservative Party,Plagiarism,Male
270,86.14.185.108,100,69,TRUE,2018/6/19 06:29,R_1pYgKekjwB5p8f9,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,13.842,13.842,16.449,1,20.75,22.758,24.066,2,Prime Minister 2,5.886,14.722,22.934,2,Prime Minister 2,Scandal,Plagiarism,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Having an Extranarital Affair,No Scandal,Support EU Integration,Liberal Democrats,Conservative Party,Female,Scandal,Plagiarism,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,Having an Extranarital Affair,Plagiarism,Support EU Integration,Liberal Democrats,Conservative Party,Female
271,155.245.29.160,100,45,TRUE,2018/6/19 06:29,R_d6vH3W41TkOZMQh,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,12.092,0,21.106,21.106,22.317,1,Prime Minister 1,8.501,8.501,9.6,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Neutral,Sexual Harassment,Sexual Harassment,Female,Labour Party,Labour Party,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Neutral,Sexual Harassment,Having an Extramarital Affair,Female,Labour Party,Labour Party
272,151.230.144.27,100,66,TRUE,2018/6/19 06:31,R_3HCzzkPT2j4bB4m,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,9.489,32.771,34.362,3,11.559,12.064,12.875,3,Prime Minister 2,8.438,11.697,12.383,4,Prime Minister 2,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Female,Minister's Scandal,Sexual Harassment,Conservative Party,Oppose EU Integration,Conservative Party,Misreporting Funds,Male,Plagiarism,Minister's Partisanship,Labour Party,EU Integration,Neutral,Party Affiliation,Labour Party,Scandal,Plagiarism,Gender,Male,Minister's Scandal,No Scandal,Conservative Party,Oppose EU Integration,Conservative Party,No Scandal,Female,Plagiarism
273,155.245.62.107,100,73,TRUE,2018/6/19 06:32,R_2UYPE2vLoQEqs0H,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,16.131,0,35.554,35.554,36.814,1,Prime Minister 1,16.08,16.08,17.089,1,Prime Minister 2,Minister's Scandal,Plagiarism,Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,No Scandal,Having an Extranarital Affair,Support EU Integration,Conservative Party,Conservative Party,Female,Minister's Scandal,No Scandal,Scandal,Misreporting Funds,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Having an Extramarital Affair,Having an Extranarital Affair,Neutral,Liberal Democrats,Conservative Party,Male
274,86.11.250.124,100,77,TRUE,2018/6/19 06:35,R_27DQTqka3VkelBT,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,40.689,0,15.85,15.85,23.281,1,Prime Minister 2,9.941,9.941,11.134,1,Prime Minister 2,Scandal,Misreporting Funds,Gender,Female,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Having an Extranarital Affair,Female,Liberal Democrats,Conservative Party,Sexual Harassment,Neutral,Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Misreporting Funds,Female,Labour Party,Labour Party,No Scandal,Support EU Integration
275,165.225.80.131,100,89,TRUE,2018/6/19 06:39,R_1LOQFUqT8Y2nF6C,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,43.015,43.015,44.348,1,6.268,26.647,28.366,2,Prime Minister 2,3.964,16.229,17.734,2,Prime Minister 2,EU Integration,Support EU Integration,Scandal,No Scandal,Gender,Male,Minister's Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Support EU Integration,No Scandal,Male,No Scandal,Liberal Democrats,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Gender,Male,Minister's Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Neutral,No Scandal,Female,Plagiarism,Labour Party,Labour Party
276,82.132.240.107,100,110,TRUE,2018/6/19 06:39,R_RKegP2aekB08Hvj,NA,NA,NA,NA,52.58329773,-2.133300781,anonymous,EN,19.86,42.548,55.509,3,13.017,16.276,19.725,3,Prime Minister 1,20.849,25.352,26.911,3,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Gender,Male,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Scandal,No Scandal,EU Integration,Support EU Integration,Liberal Democrats,Female,Conservative Party,Misreporting Funds,Having an Extramarital Affair,Neutral,Minister's Partisanship,Liberal Democrats,Gender,Male,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,EU Integration,Neutral,Conservative Party,Female,Conservative Party,Plagiarism,No Scandal,Neutral
277,78.150.209.230,100,31,TRUE,2018/6/19 06:41,R_1lcPECLtvu6pFZs,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,5.076,0,9.886,9.886,12.884,1,Prime Minister 1,10.574,10.574,11.539,1,Prime Minister 2,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Scandal,No Scandal,Support EU Integration,Labour Party,Labour Party,Male,Plagiarism,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Liberal Democrats,Conservative Party,Male,Having an Extranarital Affair,Misreporting Funds
278,86.151.53.41,100,89,TRUE,2018/6/19 06:43,R_2sdrrBiK9msOCA1,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.047,8.192,23.813,2,21.675,36.707,37.091,4,Prime Minister 2,3.529,12.55,13.069,4,Prime Minister 1,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Liberal Democrats,Neutral,Female,Misreporting Funds,Conservative Party,Misreporting Funds,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Conservative Party,Oppose EU Integration,Male,Having an Extranarital Affair,Conservative Party,Having an Extramarital Affair
279,86.184.24.237,100,52,TRUE,2018/6/19 06:44,R_Doua4cTFQpsXLCF,NA,NA,NA,NA,52.07060242,0.761901855,anonymous,EN,0,0,27.727,0,13.986,13.986,14.886,1,Prime Minister 1,7.249,7.249,7.882,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Scandal,Misreporting Funds,Gender,Female,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Labour Party,No Scandal,Male,Oppose EU Integration,Labour Party,Sexual Harassment,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Labour Party,No Scandal,Male,Oppose EU Integration,Labour Party,Misreporting Funds
280,2.122.222.204,100,168,TRUE,2018/6/19 06:48,R_2sJ7AbPL5uI7zON,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,26.406,33.616,35.07,4,21.195,101.759,102.897,8,Prime Minister 2,27.031,28.147,29.253,3,Prime Minister 2,Gender,Male,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,EU Integration,Oppose EU Integration,Male,Misreporting Funds,Liberal Democrats,Conservative Party,Plagiarism,Support EU Integration,Gender,Female,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,EU Integration,Neutral,Female,No Scandal,Labour Party,Labour Party,Misreporting Funds,Oppose EU Integration
281,81.106.114.114,100,54,TRUE,2018/6/19 06:51,R_2cCx8Zh5vW58TzD,NA,NA,NA,NA,51.75,-0.333297729,anonymous,EN,4.653,7.855,8.616,8,4.077,26.525,27.003,11,Prime Minister 1,1.52,13.909,14.416,4,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Conservative Party,Misreporting Funds,Plagiarism,Male,Liberal Democrats,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Labour Party,Misreporting Funds,Sexual Harassment,Male,Labour Party,Oppose EU Integration
282,92.40.249.241,100,68,TRUE,2018/6/19 06:52,R_Utj6bRzQyo3ymPf,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,6.644,11.891,12.881,3,15.279,20.176,22.021,3,Prime Minister 2,24.946,25.523,26.204,3,Prime Minister 2,Scandal,Sexual Harassment,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Plagiarism,Neutral,Labour Party,Male,Plagiarism,Labour Party,Scandal,No Scandal,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Gender,Male,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Having an Extranarital Affair,Support EU Integration,Labour Party,Female,Plagiarism,Labour Party
283,146.198.242.96,100,41,TRUE,2018/6/19 06:53,R_3HIvYIyLXTe629m,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.084,12.691,13.789,4,1.373,11.942,13.173,3,Prime Minister 1,3.166,4.206,10.033,3,Prime Minister 1,Party Affiliation,Labour Party,Gender,Female,Minister's Scandal,Sexual Harassment,Scandal,Having an Extranarital Affair,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Conservative Party,Female,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Male,Minister's Scandal,Plagiarism,Scandal,Having an Extranarital Affair,Minister's Partisanship,Labour Party,EU Integration,Neutral,Conservative Party,Male,Sexual Harassment,Sexual Harassment,Liberal Democrats,Oppose EU Integration
284,155.245.57.90,100,45,TRUE,2018/6/19 06:55,R_1EWM22O45xVFARz,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,7.934,0,16.293,16.293,17.877,1,Prime Minister 2,17.001,17.001,18.017,1,Prime Minister 1,Scandal,Having an Extranarital Affair,EU Integration,Neutral,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,No Scandal,Support EU Integration,Female,Conservative Party,Conservative Party,Misreporting Funds,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Gender,Female,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Plagiarism,Plagiarism,Oppose EU Integration,Female,Labour Party,Labour Party,Plagiarism
285,80.189.49.226,100,70,TRUE,2018/6/19 06:56,R_2A1k1jbG01vg0Aq,NA,NA,NA,NA,51.26669312,1.083297729,anonymous,EN,0.709,21.27,23.966,9,0.825,11.795,14.964,3,Prime Minister 2,0.203,14.389,17.071,4,Prime Minister 2,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Male,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Oppose EU Integration,Conservative Party,Female,No Scandal,Conservative Party,No Scandal,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Gender,Female,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Scandal,No Scandal,Oppose EU Integration,Conservative Party,Female,Plagiarism,Conservative Party,No Scandal
286,86.151.53.16,100,46,TRUE,2018/6/19 06:57,R_1LSXhSOaBXZoUsD,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,14.542,0,12.717,12.717,15.05,1,Prime Minister 1,13.814,13.814,14.992,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,No Scandal,Gender,Female,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Oppose EU Integration,Plagiarism,Female,Plagiarism,Labour Party,Labour Party,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Neutral,Having an Extranarital Affair,Male,No Scandal,Labour Party,Labour Party
287,213.205.251.92,100,38,TRUE,2018/6/19 06:57,R_W9ewHdUZScyx6YF,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,4.331,11.139,12.247,8,0.661,11.716,12.378,7,Prime Minister 1,0.743,9.188,10.034,7,Prime Minister 1,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Neutral,Female,Conservative Party,Sexual Harassment,Liberal Democrats,Having an Extranarital Affair,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Support EU Integration,Male,Conservative Party,Misreporting Funds,Conservative Party,Having an Extranarital Affair
288,82.17.246.114,100,81,TRUE,2018/6/19 06:58,R_ZkOh01xdHbfU39n,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.983,6.325,8.936,3,17.496,37.321,40.242,5,Prime Minister 1,6.027,17.736,20.445,4,Prime Minister 1,Minister's Scandal,No Scandal,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Sexual Harassment,Having an Extranarital Affair,Conservative Party,Female,Liberal Democrats,Oppose EU Integration,Minister's Scandal,Plagiarism,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Gender,Male,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Misreporting Funds,Having an Extranarital Affair,Conservative Party,Male,Conservative Party,Support EU Integration
289,80.2.20.104,100,71,TRUE,2018/6/19 07:00,R_3Q0nY6PLh1rYLhi,NA,NA,NA,NA,51.6302948,0.000504,anonymous,EN,10.095,16.392,19.422,5,3.733,21.158,25.758,5,Prime Minister 1,2.529,33.129,33.935,5,Prime Minister 2,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Plagiarism,Conservative Party,Conservative Party,Female,Support EU Integration,No Scandal,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Misreporting Funds,Labour Party,Labour Party,Female,Oppose EU Integration,Sexual Harassment
290,31.75.198.168,100,74,TRUE,2018/6/19 07:03,R_3s6dqDqxUp5iRh0,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,26.139,26.139,29.453,1,11.633,13.255,13.969,3,Prime Minister 2,16.375,18.598,21.605,3,Prime Minister 2,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Scandal,Plagiarism,Gender,Male,Labour Party,Misreporting Funds,Labour Party,Oppose EU Integration,Sexual Harassment,Female,Minister's Partisanship,Labour Party,Scandal,Misreporting Funds,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Liberal Democrats,Misreporting Funds,Conservative Party,Neutral,Plagiarism,Female
291,155.245.59.41,100,51,TRUE,2018/6/19 07:04,R_W8SlW33l4BOsJvb,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,11.752,0,10.66,10.66,11.928,1,Prime Minister 1,27.326,27.326,28.403,1,Prime Minister 2,Gender,Female,EU Integration,Neutral,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Female,Neutral,Misreporting Funds,Labour Party,Sexual Harassment,Labour Party,Gender,Male,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Female,Neutral,No Scandal,Conservative Party,Having an Extranarital Affair,Conservative Party
292,92.40.248.50,100,50,TRUE,2018/6/19 07:11,R_10TubTk6lDalyz2,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,2.001,9.582,11.378,2,5.635,21.867,22.934,4,Prime Minister 1,2.199,13.582,14.108,5,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Plagiarism,Gender,Male,EU Integration,Oppose EU Integration,Labour Party,Labour Party,Misreporting Funds,Misreporting Funds,Male,Neutral,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Scandal,Having an Extranarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Liberal Democrats,Conservative Party,Having an Extramarital Affair,No Scandal,Male,Oppose EU Integration
293,5.151.221.253,100,172,TRUE,2018/6/19 07:13,R_2P0zpsHvKPzPZxp,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.273,110.065,124.783,13,1.138,25.505,26.89,7,Prime Minister 1,0.713,18.449,19.434,4,Prime Minister 2,Gender,Female,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,Minister's Scandal,No Scandal,Female,Liberal Democrats,Oppose EU Integration,Plagiarism,Conservative Party,Sexual Harassment,Gender,Female,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Female,Conservative Party,Neutral,Misreporting Funds,Conservative Party,Misreporting Funds
294,86.1.184.137,100,52,TRUE,2018/6/19 07:16,R_Zt7jAvoaDvDRwSB,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,7.19,22.142,22.793,6,1.978,20.558,21.255,4,Prime Minister 1,0.721,5.289,5.815,4,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Gender,Male,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Labour Party,Plagiarism,Female,Sexual Harassment,Oppose EU Integration,Labour Party,Party Affiliation,Conservative Party,Scandal,No Scandal,Gender,Male,Minister's Scandal,Plagiarism,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Conservative Party,Sexual Harassment,Female,Having an Extramarital Affair,Support EU Integration,Conservative Party
295,90.255.21.138,100,78,TRUE,2018/6/19 07:18,R_O7hIum7qMSXnibT,NA,NA,NA,NA,51.5,-0.116699219,anonymous,EN,0,0,18.368,0,22.676,22.676,25.083,1,Prime Minister 1,24.591,32.54,33.963,2,Prime Minister 2,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Male,Oppose EU Integration,Labour Party,Having an Extranarital Affair,Labour Party,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Male,Support EU Integration,Liberal Democrats,Misreporting Funds,Conservative Party,Having an Extramarital Affair
296,84.92.90.30,100,50,TRUE,2018/6/19 07:23,R_1gqnXa01r4RJCsa,NA,NA,NA,NA,51.65719604,0.760803223,anonymous,EN,2.903,8.516,10.009,4,2.991,9.623,10.144,7,Prime Minister 1,1.033,25.801,26.251,5,Prime Minister 2,Gender,Female,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Female,Sexual Harassment,Conservative Party,Sexual Harassment,Oppose EU Integration,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Minister's Partisanship,Labour Party,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Male,Misreporting Funds,Conservative Party,Having an Extramarital Affair,Neutral,Conservative Party
297,81.147.69.209,100,55,TRUE,2018/6/19 07:24,R_9BwzzMy81yq6D5v,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,21.979,21.979,22.706,1,10.54,15.758,15.728,4,Prime Minister 1,8.755,8.867,12.679,2,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,Minister's Scandal,No Scandal,Conservative Party,Oppose EU Integration,Conservative Party,Male,Sexual Harassment,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,Minister's Scandal,No Scandal,Labour Party,Support EU Integration,Labour Party,Male,No Scandal,Having an Extramarital Affair
298,86.14.185.252,100,122,TRUE,2018/6/19 07:26,R_cYg1kG5RjPj7Cc9,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.129,79.452,79.868,29,16.989,29.618,30.699,4,Prime Minister 2,1.412,10.408,11.005,6,Prime Minister 1,EU Integration,Support EU Integration,Minister's Partisanship,Labour Party,Scandal,Plagiarism,Minister's Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Labour Party,Support EU Integration,Labour Party,Sexual Harassment,No Scandal,Female,Labour Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Labour Party,Oppose EU Integration,Labour Party,Having an Extranarital Affair,Misreporting Funds,Female,Labour Party
299,147.147.162.56,100,116,TRUE,2018/6/19 07:28,R_3JkPqHeHEb6pyPt,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,64.994,0,27.148,27.148,31.704,1,Prime Minister 1,17.193,17.193,19.211,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Male,Minister's Scandal,Misreporting Funds,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Conservative Party,Support EU Integration,Male,Misreporting Funds,Having an Extranarital Affair,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,Labour Party,Neutral,Male,Misreporting Funds,Misreporting Funds,Labour Party
300,82.132.218.185,100,58,TRUE,2018/6/19 07:33,R_1mIT4lN75ZYMpjL,NA,NA,NA,NA,51.51669312,-0.333297729,anonymous,EN,10.02,17.154,18.768,2,0.924,30.794,30.832,10,Prime Minister 1,0.745,6.522,6.939,4,Prime Minister 2,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Neutral,Gender,Female,Party Affiliation,Labour Party,Scandal,No Scandal,Misreporting Funds,Liberal Democrats,Support EU Integration,Male,Conservative Party,Having an Extranarital Affair,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Gender,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Having an Extramarital Affair,Labour Party,Neutral,Female,Labour Party,Sexual Harassment
301,86.161.54.232,100,65,TRUE,2018/6/19 07:47,R_psoqznzyYh1A16p,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,14.096,14.096,28.22,1,17.54,19.293,19.904,3,Prime Minister 2,14.306,15.524,16.039,3,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Conservative Party,Conservative Party,Female,Neutral,Plagiarism,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Neutral,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,Liberal Democrats,Conservative Party,Male,Support EU Integration,Sexual Harassment,Having an Extranarital Affair
