,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q2,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
261,86.11.248.91,100,24,TRUE,2018/6/19 06:26,R_Z8idtL5co4NVwS5,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.422,10.653,11.212,5,Minister 1,3.868,7.951,8.719,5,Minister 2,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,Female,Labour Party,Misreporting Funds,Sexual Harassment,Labour Party,Oppose EU Integration,Neutral,Gender,Male,PM's Partisanship,Labour Party,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,EU Integration,Neutral,Male,Conservative Party,Having an Extramarital Affair,Having an Extramarital Affair,Conservative Party,Neutral,Support EU Integration
262,82.132.227.159,100,15,TRUE,2018/6/19 06:28,R_XMIv1vfSi7rxZcZ,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,3.461,4.81,5.438,4,Minister 1,2.859,7.645,8.668,5,Minister 2,Party Affiliation,Labour Party,Gender,Male,PM's Scandal,Plagiarism,Scandal,No Scandal,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,Conservative Party,Female,Misreporting Funds,Having an Extramarital Affair,Support EU Integration,Support EU Integration,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,PM's Scandal,Plagiarism,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Conservative Party,Male,Having an Extramarital Affair,No Scandal,Oppose EU Integration,Neutral,Conservative Party
263,81.153.144.254,100,40,TRUE,2018/6/19 06:28,R_3qPRB8SD9udt4FY,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,25.29,32.381,33.077,7,Minister 1,0.384,4.018,5.219,5,Minister 2,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Support EU Integration,Liberal Democrats,Female,Plagiarism,Oppose EU Integration,Conservative Party,Sexual Harassment,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Neutral,Labour Party,Male,Misreporting Funds,Neutral,Labour Party,Having an Extramarital Affair
264,46.183.192.158,100,38,TRUE,2018/6/19 06:29,R_2dMGtcIHirNXWNp,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.59,23.755,24.325,5,Minister 1,5.172,11.36,12.597,4,Minister 2,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Labour Party,Male,Neutral,Labour Party,Having an Extramarital Affair,Sexual Harassment,Neutral,PM's Partisanship,Labour Party,Gender,Male,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,Sexual Harassment,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Labour Party,Male,Oppose EU Integration,Labour Party,Misreporting Funds,No Scandal,Support EU Integration
265,82.132.228.55,100,22,TRUE,2018/6/19 06:29,R_2ZE91JWdU80H2jL,NA,NA,NA,NA,53.38330078,-2.600006104,anonymous,EN,1.323,6.472,7.33,5,Minister 1,2.421,15.165,15.938,6,Minister 2,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Conservative Party,Conservative Party,Plagiarism,Support EU Integration,Female,Misreporting Funds,Oppose EU Integration,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Conservative Party,Plagiarism,Neutral,Male,No Scandal,Support EU Integration,Conservative Party
266,94.197.120.217,100,19,TRUE,2018/6/19 06:30,R_3Vgg6J5nJvQNUNb,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,4.053,5.917,7.817,3,Minister 1,2.916,9.093,10.11,3,Minister 1,Party Affiliation,Labour Party,Scandal,Misreporting Funds,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,Gender,Male,PM's Scandal,No Scandal,Conservative Party,Sexual Harassment,Conservative Party,Support EU Integration,Neutral,Male,Sexual Harassment,Party Affiliation,Liberal Democrats,Scandal,No Scandal,PM's Partisanship,Conservative Party,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Scandal,No Scandal,Conservative Party,Plagiarism,Conservative Party,Neutral,Oppose EU Integration,Female,Sexual Harassment
267,155.245.29.160,100,14,TRUE,2018/6/19 06:30,R_3oN263YATvpHlEU,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,3.851,5.742,6.08,2,Minister 1,5.346,5.346,7.031,1,Minister 2,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Gender,Female,Conservative Party,Having an Extramarital Affair,Conservative Party,Misreporting Funds,Support EU Integration,Support EU Integration,Male,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Neutral,PM's Position in EU Integration,Support EU Integration,Gender,Male,Conservative Party,Having an Extramarital Affair,Conservative Party,Plagiarism,Neutral,Neutral,Female
268,86.14.185.108,100,30,TRUE,2018/6/19 06:32,R_33j8VZqlWJpCGLu,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.48,11.921,13.441,2,Minister 2,3.714,15.282,17.142,2,Minister 1,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Scandal,No Scandal,Gender,Male,Party Affiliation,Labour Party,Support EU Integration,Support EU Integration,Conservative Party,Having an Extramarital Affair,Sexual Harassment,Male,Liberal Democrats,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,Support EU Integration,Neutral,Conservative Party,Plagiarism,Plagiarism,Male,Liberal Democrats
269,90.219.104.118,100,35,TRUE,2018/6/19 06:33,R_1GDZIQmSW98f6iS,NA,NA,NA,NA,52.08329773,1.166702271,anonymous,EN,11.91,15.102,15.592,4,Minister 1,12.426,17.201,18.276,3,Minister 1,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Scandal,Plagiarism,Gender,Male,PM's Partisanship,Conservative Party,Support EU Integration,Support EU Integration,Liberal Democrats,Misreporting Funds,Sexual Harassment,Female,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Scandal,No Scandal,Scandal,Misreporting Funds,Gender,Male,PM's Partisanship,Labour Party,Support EU Integration,Support EU Integration,Liberal Democrats,Sexual Harassment,Plagiarism,Male,Conservative Party
270,151.230.144.27,100,39,TRUE,2018/6/19 06:35,R_tVtgn2B3OriQPHb,NA,NA,NA,NA,51.93649292,1.278305054,anonymous,EN,0.1,8.273,11.165,5,Minister 2,1.58,19.486,20.588,4,Minister 2,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Plagiarism,PM's Scandal,No Scandal,Support EU Integration,Neutral,Labour Party,Male,Labour Party,Plagiarism,No Scandal,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,Scandal,Plagiarism,PM's Scandal,Sexual Harassment,Support EU Integration,Oppose EU Integration,Liberal Democrats,Male,Conservative Party,Plagiarism,No Scandal
271,155.245.62.107,100,35,TRUE,2018/6/19 06:36,R_1mUe1CBOefEbwHu,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,18.355,18.355,19.251,1,Minister 1,14.776,14.776,15.914,1,Minister 2,PM's Scandal,No Scandal,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Female,PM's Partisanship,Conservative Party,Sexual Harassment,Plagiarism,Neutral,Liberal Democrats,Neutral,Male,Conservative Party,PM's Scandal,Having an Extramarital Affair,Scandal,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,No Scandal,Having an Extramarital Affair,Neutral,Labour Party,Support EU Integration,Male,Labour Party
272,86.11.250.124,100,32,TRUE,2018/6/19 06:38,R_2YtAP0Qr6t31fff,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.771,12.771,14.965,1,Minister 1,14.204,14.204,15.742,1,Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Gender,Male,PM's Scandal,Misreporting Funds,Oppose EU Integration,Labour Party,Labour Party,Oppose EU Integration,Sexual Harassment,Male,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,Gender,Male,PM's Scandal,Sexual Harassment,Oppose EU Integration,Conservative Party,Conservative Party,Neutral,Misreporting Funds,Male,Sexual Harassment
273,78.150.209.230,100,23,TRUE,2018/6/19 06:43,R_1B10q7xsaIhY4cV,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,10.525,10.525,11.493,1,Minister 1,9.655,9.655,10.767,1,Minister 1,Gender,Female,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Female,Support EU Integration,Neutral,Having an Extramarital Affair,Labour Party,Labour Party,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Male,Oppose EU Integration,Support EU Integration,Misreporting Funds,Labour Party,Labour Party,Misreporting Funds
274,82.132.240.107,100,36,TRUE,2018/6/19 06:43,R_3Ga0Ou7Gt2Bhx7I,NA,NA,NA,NA,52.58329773,-2.133300781,anonymous,EN,2.575,7.413,8.613,4,Minister 2,9.759,22.132,23.266,4,Minister 1,Gender,Female,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Sexual Harassment,Female,Support EU Integration,Neutral,Having an Extramarital Affair,Labour Party,Labour Party,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,Male,Oppose EU Integration,Support EU Integration,Misreporting Funds,Labour Party,Labour Party,Misreporting Funds
275,165.225.80.131,100,90,TRUE,2018/6/19 06:45,R_ZazhGLWGaaNaroB,NA,NA,NA,NA,51.49639893,-0.122406006,anonymous,EN,3.543,48.951,64.977,5,Minister 2,3.567,26.658,28.285,3,Minister 1,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Female,Neutral,Having an Extramarital Affair,Neutral,Sexual Harassment,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Scandal,Sexual Harassment,Conservative Party,Conservative Party,Female,Oppose EU Integration,No Scandal,Support EU Integration,Misreporting Funds
276,86.184.24.237,100,23,TRUE,2018/6/19 06:47,R_3MDJ1pRjBHYpZQd,NA,NA,NA,NA,52.07060242,0.761901855,anonymous,EN,8.844,9.401,10.026,2,Minister 2,10.766,10.766,11.717,1,Minister 1,Gender,Female,PM's Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Female,Having an Extramarital Affair,Liberal Democrats,No Scandal,Oppose EU Integration,Conservative Party,Oppose EU Integration,Gender,Female,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,EU Integration,Neutral,Female,No Scandal,Conservative Party,Sexual Harassment,Support EU Integration,Conservative Party,Oppose EU Integration
277,86.151.53.41,100,44,TRUE,2018/6/19 06:48,R_3GkeqeGsmRCufcO,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,4.28,14.611,15.383,4,Minister 2,2.57,25.702,26.348,4,Minister 2,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,Having an Extramarital Affair,Oppose EU Integration,No Scandal,Liberal Democrats,Male,Oppose EU Integration,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Misreporting Funds,Support EU Integration,No Scandal,Conservative Party,Male,Neutral,Conservative Party
278,2.122.222.204,100,42,TRUE,2018/6/19 06:52,R_1mXFOUHxtAq1j9a,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.959,18.859,20.23,4,Minister 2,1.171,12.314,13.174,4,Minister 1,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,PM's Position in EU Integration,Support EU Integration,Gender,Female,Scandal,Plagiarism,Party Affiliation,Labour Party,Plagiarism,Neutral,Conservative Party,Neutral,Male,No Scandal,Liberal Democrats,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Sexual Harassment,Oppose EU Integration,Conservative Party,Oppose EU Integration,Male,Misreporting Funds,Conservative Party
279,81.106.114.114,100,35,TRUE,2018/6/19 06:53,R_1QJVoVEqiANKYhh,NA,NA,NA,NA,51.75,-0.333297729,anonymous,EN,1.003,20.091,20.565,7,Minister 1,0.522,13.196,13.606,7,Minister 1,Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,PM's Partisanship,Labour Party,Plagiarism,Neutral,Neutral,No Scandal,Labour Party,Male,Labour Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,Misreporting Funds,Support EU Integration,Oppose EU Integration,Plagiarism,Liberal Democrats,Male,Conservative Party
280,146.198.242.96,100,20,TRUE,2018/6/19 06:54,R_1Q9MofTPZImilv2,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.257,8.444,8.966,5,Minister 1,0.786,5.146,5.2,6,Minister 2,PM's Position in EU Integration,Support EU Integration,Gender,Female,PM's Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Support EU Integration,Male,Having an Extramarital Affair,Liberal Democrats,Conservative Party,Having an Extramarital Affair,Neutral,PM's Position in EU Integration,Neutral,Gender,Male,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Support EU Integration,Support EU Integration,Female,No Scandal,Labour Party,Labour Party,Sexual Harassment,Support EU Integration
281,92.40.249.241,100,105,TRUE,2018/6/19 06:57,R_2ZWwbMuqwh7myhC,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,59.39,73.636,74.355,8,Minister 1,2.082,23.913,24.49,4,Minister 2,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Gender,Male,EU Integration,Neutral,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,No Scandal,Labour Party,Labour Party,Male,Neutral,No Scandal,Oppose EU Integration,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Male,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Having an Extramarital Affair,Labour Party,Labour Party,Female,Support EU Integration,Sexual Harassment,Neutral
282,213.205.251.92,100,22,TRUE,2018/6/19 06:59,R_1FaLqdI6RGDc422,NA,NA,NA,NA,51.55000305,0.166702271,anonymous,EN,0.967,7.309,9.61,8,Minister 2,0.579,9.591,10.47,8,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Male,Oppose EU Integration,Misreporting Funds,Conservative Party,Plagiarism,Conservative Party,Neutral,Female,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Male,Oppose EU Integration,Having an Extramarital Affair,Conservative Party,Plagiarism,Conservative Party,Oppose EU Integration,Female
283,86.151.53.16,100,28,TRUE,2018/6/19 06:59,R_3HGDaZNV3tmtZvV,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,10.886,10.886,11.749,1,Minister 2,13.928,13.928,15.729,1,Minister 1,Scandal,Sexual Harassment,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Plagiarism,Support EU Integration,Neutral,Liberal Democrats,Female,Conservative Party,Having an Extramarital Affair,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Plagiarism,Neutral,Support EU Integration,Labour Party,Male,Labour Party,Having an Extramarital Affair
284,80.189.49.226,100,47,TRUE,2018/6/19 07:00,R_3nHLP0G93sOsKlH,NA,NA,NA,NA,51.26669312,1.083297729,anonymous,EN,0.806,10.707,13.293,5,Minister 1,0.348,27.573,28.615,6,Minister 1,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,Gender,Female,EU Integration,Neutral,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Plagiarism,Conservative Party,Female,Support EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,PM's Scandal,Plagiarism,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,Sexual Harassment,Conservative Party,Female,Oppose EU Integration,Support EU Integration,Plagiarism,Conservative Party
285,155.245.57.90,100,42,TRUE,2018/6/19 07:01,R_QiAjU3gsGWBSWeR,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,20.621,20.621,21.624,1,Minister 2,19.197,19.197,19.761,1,Minister 2,Scandal,Sexual Harassment,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,PM's Scandal,Having an Extramarital Affair,No Scandal,Support EU Integration,Conservative Party,Neutral,Conservative Party,Male,No Scandal,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,PM's Scandal,No Scandal,Sexual Harassment,Support EU Integration,Labour Party,Support EU Integration,Labour Party,Female,Having an Extramarital Affair
286,80.2.20.104,100,25,TRUE,2018/6/19 07:03,R_3peVtdB7hqee2KU,NA,NA,NA,NA,51.6302948,0.000504,anonymous,EN,4.899,10.957,13.257,6,Minister 1,6.174,12.752,13.471,4,Minister 1,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Male,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Plagiarism,Liberal Democrats,Male,Misreporting Funds,Conservative Party,Neutral,Neutral,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Male,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Neutral,Misreporting Funds,Labour Party,Male,Sexual Harassment,Labour Party,Support EU Integration,Support EU Integration
287,82.17.246.114,100,46,TRUE,2018/6/19 07:03,R_1DzM8ASPF9tLWSS,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,20.66,29.107,30.17,4,Minister 2,11.192,14.24,15.063,4,Minister 2,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,No Scandal,Neutral,Labour Party,Having an Extramarital Affair,Labour Party,Female,Neutral,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Scandal,Plagiarism,PM's Partisanship,Conservative Party,Gender,Male,EU Integration,Neutral,No Scandal,Neutral,Labour Party,Misreporting Funds,Labour Party,Female,Neutral
288,31.75.198.168,100,32,TRUE,2018/6/19 07:06,R_2urkQkUv7CdHe4Q,NA,NA,NA,NA,51.51420593,-0.093093872,anonymous,EN,1.485,12.397,13.282,4,Minister 2,1.014,9.52,10.559,3,Minister 2,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Female,Oppose EU Integration,Having an Extramarital Affair,Labour Party,Neutral,Having an Extramarital Affair,Labour Party,Male,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Partisanship,Labour Party,Gender,Male,Neutral,Misreporting Funds,Conservative Party,Support EU Integration,Sexual Harassment,Conservative Party,Male
289,155.245.59.41,100,30,TRUE,2018/6/19 07:06,R_2tEcMwd8gwhdE0k,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,13.325,13.325,14.487,1,Minister 1,14.564,14.564,16.593,1,Minister 2,Party Affiliation,Labour Party,Gender,Female,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Conservative Party,Female,Conservative Party,Having an Extramarital Affair,Neutral,Misreporting Funds,Neutral,Party Affiliation,Conservative Party,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,Conservative Party,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration,Sexual Harassment,Support EU Integration
290,92.40.248.50,100,25,TRUE,2018/6/19 07:13,R_sqagWBlY5XOPHCp,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,0.961,9.829,12.035,4,Minister 2,0.79,10.706,11.544,6,Minister 1,Party Affiliation,Labour Party,Gender,Male,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,EU Integration,Support EU Integration,Labour Party,Male,Labour Party,No Scandal,Sexual Harassment,Oppose EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,PM's Partisanship,Conservative Party,Scandal,No Scandal,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Conservative Party,Female,Conservative Party,Misreporting Funds,Having an Extramarital Affair,Support EU Integration,Support EU Integration
291,5.151.221.253,100,36,TRUE,2018/6/19 07:17,R_wLvTGZqptweRfWx,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.446,21.566,22.198,7,Minister 2,2.232,11.851,12.703,7,Minister 1,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Conservative Party,Misreporting Funds,Support EU Integration,Conservative Party,Female,Oppose EU Integration,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Gender,Male,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,Conservative Party,Sexual Harassment,Oppose EU Integration,Liberal Democrats,Male,Neutral,Having an Extramarital Affair
